Node,x,y,z,Stress (Pa)
472,0,0.225,-0.0313,1240000000
473,0,0.2025,-0.025,1190000000
474,0,0.21,-0.0313,1240000000
475,0,0.1875,-0.025,1190000000
476,0,0.195,-0.0313,1240000000
477,0,0.1725,-0.025,1190000000
478,0,0.18,-0.0313,1240000000
479,0,0.1575,-0.025,1190000000
480,0,0.165,-0.0313,1240000000
481,0,0.1425,-0.025,1190000000
482,0,0.15,-0.0313,1240000000
483,0,0.1275,-0.025,1190000000
484,0,0.135,-0.0313,1240000000
485,0,0.1125,-0.025,1190000000
486,0,0.12,-0.0313,1240000000
487,0,0.0975,-0.025,1190000000
488,0,0.105,-0.0313,1240000000
489,0,0.0825,-0.025,1190000000
490,0,0.09,-0.0313,1240000000
491,0,0.0675,-0.025,1190000000
492,0,0.075,-0.0313,1240000000
493,0,0.0525,-0.025,1180000000
494,0,0.06,-0.0313,1230000000
495,0,0.0375,-0.025,1140000000
496,0,0.045,-0.0313,1210000000
497,0,0.0225,-0.025,953000000
498,0,0.03,-0.0313,1140000000
499,0,0.015,-0.0313,862000000
500,0,0.0075,-0.025,545000000
501,0,0.2775,-0.0375,1050000000
502,0,0.2925,-0.0375,757000000
503,0,0.285,-0.0438,789000000
504,0,0.2625,-0.0375,1220000000
505,0,0.27,-0.0438,807000000
506,0,0.2475,-0.0375,1270000000
507,0,0.255,-0.0438,842000000
508,0,0.2325,-0.0375,1280000000
509,0,0.24,-0.0438,855000000
510,0,0.2175,-0.0375,1290000000
511,0,0.225,-0.0438,859000000
512,0,0.2025,-0.0375,1290000000
513,0,0.21,-0.0438,860000000
514,0,0.1875,-0.0375,1290000000
515,0,0.195,-0.0438,860000000
516,0,0.1725,-0.0375,1290000000
517,0,0.18,-0.0438,860000000
518,0,0.1575,-0.0375,1290000000
519,0,0.165,-0.0438,860000000
520,0,0.1425,-0.0375,1290000000
521,0,0.15,-0.0438,860000000
522,0,0.1275,-0.0375,1290000000
523,0,0.135,-0.0438,860000000
524,0,0.1125,-0.0375,1290000000
525,0,0.12,-0.0438,860000000
526,0,0.0975,-0.0375,1290000000
527,0,0.105,-0.0438,860000000
528,0,0.0825,-0.0375,1290000000
529,0,0.09,-0.0438,860000000
530,0,0.0675,-0.0375,1280000000
531,0,0.075,-0.0438,859000000
532,0,0.0525,-0.0375,1270000000
533,0,0.06,-0.0438,855000000
534,0,0.0375,-0.0375,1220000000
535,0,0.045,-0.0438,842000000
536,0,0.0225,-0.0375,1050000000
537,0,0.03,-0.0438,807000000
538,0,0.0075,-0.0375,757000000
539,0,0.015,-0.0438,789000000
540,0,0,-0.0313,431000000
541,0,0,-0.0438,823000000
542,0.005,0,-0.0375,203000000
543,0,0,-0.0188,431000000
544,0.005,0,-0.025,71300000
545,0,0,-0.00625,823000000
546,0.005,0,-0.0125,203000000
547,0,0.3,-0.0313,431000000
548,0,0.3,-0.0438,823000000
549,0.005,0.3,-0.0375,203000000
550,0,0.3,-0.0188,431000000
551,0.005,0.3,-0.025,71300000
552,0,0.3,-0.00625,823000000
553,0.005,0.3,-0.0125,203000000
554,0,0.2925,-0.05,871000000
555,0.005,0.3,-0.05,388000000
556,0,0.2775,-0.05,658000000
557,0.005,0.285,-0.05,460000000
558,0,0.2625,-0.05,592000000
559,0.005,0.27,-0.05,443000000
560,0,0.2475,-0.05,595000000
561,0.005,0.255,-0.05,454000000
562,0,0.2325,-0.05,597000000
563,0.005,0.24,-0.05,453000000
564,0,0.2175,-0.05,597000000
565,0.005,0.225,-0.05,454000000
566,0,0.2025,-0.05,598000000
567,0.005,0.21,-0.05,454000000
568,0,0.1875,-0.05,598000000
569,0.005,0.195,-0.05,454000000
570,0,0.1725,-0.05,598000000
571,0.005,0.18,-0.05,454000000
572,0,0.1575,-0.05,598000000
573,0.005,0.165,-0.05,454000000
574,0,0.1425,-0.05,598000000
575,0.005,0.15,-0.05,454000000
576,0,0.1275,-0.05,598000000
577,0.005,0.135,-0.05,454000000
578,0,0.1125,-0.05,598000000
579,0.005,0.12,-0.05,454000000
580,0,0.0975,-0.05,598000000
581,0.005,0.105,-0.05,454000000
582,0,0.0825,-0.05,597000000
583,0.005,0.09,-0.05,454000000
584,0,0.0675,-0.05,597000000
585,0.005,0.075,-0.05,454000000
586,0,0.0525,-0.05,595000000
587,0.005,0.06,-0.05,453000000
588,0,0.0375,-0.05,592000000
589,0.005,0.045,-0.05,454000000
590,0,0.0225,-0.05,658000000
591,0.005,0.03,-0.05,443000000
592,0,0.0075,-0.05,871000000
593,0.005,0.015,-0.05,460000000
594,0.005,0,-0.05,388000000
595,0,0.2925,0,871000000
596,0.005,0.3,0,388000000
597,0,0.2775,0,658000000
598,0.005,0.285,0,460000000
599,0,0.2625,0,592000000
600,0.005,0.27,0,443000000
601,0,0.2475,0,595000000
602,0.005,0.255,0,454000000
603,0,0.2325,0,597000000
604,0.005,0.24,0,453000000
605,0,0.2175,0,597000000
606,0.005,0.225,0,454000000
607,0,0.2025,0,598000000
608,0.005,0.21,0,454000000
609,0,0.1875,0,598000000
610,0.005,0.195,0,454000000
611,0,0.1725,0,598000000
612,0.005,0.18,0,454000000
613,0,0.1575,0,598000000
614,0.005,0.165,0,454000000
615,0,0.1425,0,598000000
616,0.005,0.15,0,454000000
617,0,0.1275,0,598000000
618,0.005,0.135,0,454000000
619,0,0.1125,0,598000000
620,0.005,0.12,0,454000000
621,0,0.0975,0,598000000
622,0.005,0.105,0,454000000
623,0,0.0825,0,597000000
624,0.005,0.09,0,454000000
625,0,0.0675,0,597000000
626,0.005,0.075,0,454000000
627,0,0.0525,0,595000000
628,0.005,0.06,0,453000000
629,0,0.0375,0,592000000
630,0.005,0.045,0,454000000
631,0,0.0225,0,658000000
632,0.005,0.03,0,443000000
633,0,0.0075,0,871000000
634,0.005,0.015,0,460000000
635,0.005,0,0,388000000
636,0.01,0.0225,0,658000000
637,0.01,0.0075,0,871000000
638,0.01,0.0375,0,592000000
639,0.01,0.0525,0,595000000
640,0.01,0.0675,0,597000000
641,0.01,0.0825,0,597000000
642,0.01,0.0975,0,598000000
643,0.01,0.1125,0,598000000
644,0.01,0.1275,0,598000000
645,0.01,0.1425,0,598000000
646,0.01,0.1575,0,598000000
647,0.01,0.1725,0,598000000
648,0.01,0.1875,0,598000000
649,0.01,0.2025,0,598000000
650,0.01,0.2175,0,597000000
651,0.01,0.2325,0,597000000
652,0.01,0.2475,0,595000000
653,0.01,0.2625,0,592000000
654,0.01,0.2775,0,658000000
655,0.01,0.2925,0,871000000
656,0.01,0,-0.00625,823000000
657,0.01,0.3,-0.00625,823000000
658,0.01,0.0225,-0.05,658000000
659,0.01,0.0075,-0.05,871000000
660,0.01,0.0375,-0.05,592000000
661,0.01,0.0525,-0.05,595000000
662,0.01,0.0675,-0.05,597000000
663,0.01,0.0825,-0.05,597000000
664,0.01,0.0975,-0.05,598000000
665,0.01,0.1125,-0.05,598000000
666,0.01,0.1275,-0.05,598000000
667,0.01,0.1425,-0.05,598000000
668,0.01,0.1575,-0.05,598000000
669,0.01,0.1725,-0.05,598000000
670,0.01,0.1875,-0.05,598000000
671,0.01,0.2025,-0.05,598000000
672,0.01,0.2175,-0.05,597000000
673,0.01,0.2325,-0.05,597000000
674,0.01,0.2475,-0.05,595000000
675,0.01,0.2625,-0.05,592000000
676,0.01,0.2775,-0.05,658000000
677,0.01,0.2925,-0.05,871000000
678,0.01,0,-0.0438,823000000
679,0.01,0.3,-0.0438,823000000
680,0.01,0.3,-0.0313,431000000
681,0.01,0.3,-0.0188,431000000
682,0.01,0,-0.0313,431000000
683,0.01,0,-0.0188,431000000
